representation,selector,budget,model,outer_assessments,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,sensitivity_mean,sensitivity_std,sensitivity_ci95_low,sensitivity_ci95_high,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_ci95_low,runtime_seconds_ci95_high,pca_explained_variance_mean,sensitivity_delta_vs_same_model_full,specificity_delta_vs_same_model_full,roc_auc_delta_vs_same_model_full,meets_sensitivity_tolerance,meets_roc_auc_tolerance,meets_joint_tolerance
selected,mutual_information,4,logistic_regression,10,0.9625,0.015095184110613998,0.9517015557995736,0.9732984442004264,0.96,0.021081851067789197,0.9449189522480119,0.975081047751988,0.9666666666666668,0.038289024311361726,0.9392763487026555,0.994056984630678,0.9801993691742774,0.021696782905875678,0.964678425685213,0.9957203126633418,0.9697050812793531,0.012225083273782193,0.9609597835333865,0.9784503790253196,0.9842187499999999,0.010358780131375768,0.9768085250955886,0.9916289749044113,0.9924426209019046,0.004282937293494927,0.9893787921311638,0.9955064496726455,0.11469922080141255,0.01586175370234546,0.10335240574963397,0.12604603585319113,,-0.02750000000000008,-0.033333333333333215,-0.01578125000000008,True,True,True
selected,mutual_information,4,svm_rbf,10,0.959375,0.02109214242845478,0.9442865902520879,0.974463409747912,0.9549999999999998,0.022973414586817027,0.938565809221593,0.9714341907784066,0.9666666666666666,0.032867109906108985,0.9431549526160347,0.9901783807172985,0.9797370889700799,0.019982937496212612,0.9654421566305841,0.9940320213095758,0.9670525142149614,0.017102172035850665,0.9548183573420173,0.9792866710879056,0.9802604166666669,0.010354123584007596,0.9728535228555732,0.9876673104777605,0.990694674715155,0.004420908698175922,0.9875321471472491,0.993857202283061,0.20120931649871632,0.0016863740737178353,0.20000295715903238,0.20241567583840026,,-0.030000000000000138,-0.03333333333333344,-0.019739583333333144,True,True,True
selected,mutual_information,4,xgboost,10,0.959375,0.0183404342308948,0.9462550437144286,0.9724949562855714,0.9599999999999997,0.012909944487358068,0.9507647820552703,0.9692352179447292,0.9583333333333333,0.0340206908719886,0.9339963971721631,0.9826702694945034,0.9748717948717948,0.020414203830220027,0.960268353181954,0.9894752365616355,0.9673093151574162,0.014625958985620338,0.9568465343906091,0.9777720959242234,0.9872916666666667,0.007284222390436307,0.9820808478750419,0.9925024854582915,0.9936365768980056,0.0034465762511740384,0.9911710447747737,0.9961021090212374,0.17147217079909746,0.00270630006994975,0.16953620035443,0.1734081412437649,,-0.025000000000000244,-0.01666666666666672,-0.012083333333333335,True,True,True
selected,mutual_information,6,logistic_regression,10,0.975,0.01092509216843908,0.9671846598689411,0.9828153401310589,0.975,0.01666666666666668,0.9630773849004889,0.9869226150995111,0.975,0.02151657414559674,0.9596079700921175,0.9903920299078824,0.9850578486554096,0.01286490196498565,0.9758548521901215,0.9942608451206977,0.9798718249245676,0.00887335740577898,0.9735242074251976,0.9862194424239376,0.9988541666666666,0.0022205940215721948,0.9972656493979778,1.0,0.9993502534051315,0.0012354239713962465,0.9984664843353915,1.0,0.12129775400098874,0.021303959000325914,0.1060578198055897,0.13653768819638779,,-0.012500000000000067,-0.025000000000000022,-0.0011458333333334014,True,True,True
selected,mutual_information,6,svm_rbf,10,0.98125,0.012325166214790868,0.972433107231013,0.990066892768987,0.985,0.017480147469502542,0.9724954557903057,0.9975045442096943,0.975,0.02151657414559674,0.9596079700921175,0.9903920299078824,0.9851829268292682,0.012754935512678223,0.9760585956250634,0.9943072580334731,0.9849663709473837,0.009943396882627865,0.9778532933185887,0.9920794485761787,0.9990625,0.0022742392908073786,0.997435607217491,1.0,0.9994736684386074,0.001261643635270811,0.9985711429512425,1.0,0.21857227499858706,0.03941181179693548,0.19037876325283315,0.24676578674434096,,0.0,-0.025000000000000022,-0.0009375000000000355,True,True,True
selected,mutual_information,6,xgboost,10,0.9828125,0.011529137302697216,0.9745650520106315,0.9910599479893685,0.985,0.017480147469502542,0.9724954557903057,0.9975045442096943,0.9791666666666666,0.02946278254943948,0.9580902617008131,1.0,0.9878600464576074,0.01702467807256915,0.9756813254264677,1.0,0.9862302688887541,0.00923047502147778,0.9796271848367503,0.9928333529407579,0.9989583333333334,0.0017704928866641913,0.9976917990198862,1.0,0.9994030349377414,0.0010151435172876028,0.9986768450120984,1.0,0.17546640410000686,0.016158885047382814,0.16390703408857546,0.18702577411143825,,0.0,0.004166666666666652,-0.0004166666666666208,True,True,True
selected,mutual_information,8,logistic_regression,10,0.9875,0.012325166214790868,0.978683107231013,0.996316892768987,0.99,0.017480147469502542,0.9774954557903057,1.0,0.9833333333333334,0.02151657414559674,0.9679413034254509,0.9987253632412159,0.9901829268292683,0.012675009254725492,0.9811157714256584,0.9992500822328783,0.9899663709473836,0.009962168323494404,0.9828398650387297,0.9970928768560375,0.9996875,0.0007030714142817861,0.9991845530084029,1.0,0.9998155487804878,0.0004158261649591216,0.999518084661701,1.0,0.16290710419852983,0.0032783742495901716,0.1605618965387291,0.16525231185833056,,0.0024999999999999467,-0.016666666666666607,-0.00031250000000004885,True,True,True
selected,mutual_information,8,svm_rbf,10,0.9890625,0.010546071214227388,0.9815182951260439,0.996606704873956,0.9925,0.012076147288491209,0.983861244639659,1.0,0.9833333333333334,0.02151657414559674,0.9679413034254509,0.9987253632412159,0.9901829268292683,0.012675009254725492,0.9811157714256584,0.9992500822328783,0.991264650726676,0.008430405065178564,0.9852339022431704,0.9972953992101816,0.9996875,0.0007030714142817861,0.9991845530084029,1.0,0.9998155487804878,0.00041582616495911066,0.999518084661701,1.0,0.29940482070087454,0.0045742560705453374,0.2961325950311317,0.3026770463706174,,0.007500000000000062,-0.016666666666666607,-0.00031250000000004885,True,True,True
selected,mutual_information,8,xgboost,10,0.9859375,0.013681172433920516,0.9761505788176195,0.9957244211823806,0.9875,0.017677669529663702,0.9748541570204879,1.0,0.9833333333333334,0.029133579115837548,0.9624924263171762,1.0,0.9902990708478514,0.01682054771738525,0.9782663758760107,1.0,0.9887306595747987,0.01095568402518986,0.9808934353477466,0.9965678838018507,0.999375,0.0011197580205970536,0.9985739733669499,1.0,0.9996384291521487,0.000647873022249621,0.9991749687114904,1.0,0.20535348740086187,0.0022281533851717453,0.20375956248921734,0.2069474123125064,,0.0025000000000000577,0.008333333333333415,0.0,True,True,True
selected,permutation_importance,4,logistic_regression,10,0.978125,0.015095184110613996,0.9673265557995736,0.9889234442004264,0.9799999999999999,0.010540925533894607,0.9724594761240059,0.9875405238759939,0.975,0.035136418446315335,0.9498649204133532,1.0,0.9853048780487805,0.020600673902062393,0.9705680437052906,1.0,0.9825289107673074,0.011877448691377525,0.9740322958206182,0.9910255257139966,0.9979166666666666,0.001770492886664206,0.9966501323532194,0.9991832009801137,0.9987781121317708,0.0010317235730534083,0.9980400615487344,0.9995161627148073,0.12471162069996349,0.023855409896255775,0.10764648848591599,0.14177675291401098,,-0.007500000000000173,-0.025000000000000022,-0.002083333333333437,True,True,True
selected,permutation_importance,4,svm_rbf,10,0.9796875,0.014823176532039278,0.9690836382993835,0.9902913617006166,0.9674999999999999,0.023717082451262844,0.9505338212790134,0.9844661787209864,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9833482972723478,0.012285854722727177,0.9745595262506926,0.992137068294003,0.9986458333333331,0.002865372366080251,0.9965960694230801,1.0,0.9992388418782147,0.001407282203007588,0.9982321328356436,1.0,0.22740756250132108,0.04552015418212653,0.19484440584628743,0.2599707191563547,,-0.01750000000000007,0.0,-0.0013541666666668783,True,True,True
