method,feature,mean_rank,rank_std,selection_frequency_8,jaccard_mean_8,selection_frequency_6,jaccard_mean_6,selection_frequency_4,jaccard_mean_4
mutual_information,pe,15.8,1.9321835661585918,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,ane,19.7,2.8303906287138374,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
wrapper_rfe,age,21.0,1.3333333333333333,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,bp,12.4,1.776388345929897,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,sg,3.8,1.0327955589886444,1.0,0.9120987654320989,1.0,0.8476190476190477,0.7,0.6918518518518519
wrapper_rfe,al,2.9,1.1972189997378648,1.0,0.9120987654320989,1.0,0.8476190476190477,0.9,0.6918518518518519
wrapper_rfe,su,11.1,1.5238839267549948,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,rbc,17.7,1.0593499054713802,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,pc,14.7,2.4060109910158114,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,pcc,22.7,0.9486832980505138,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,ba,23.3,0.674948557710553,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,bgr,16.5,0.97182531580755,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,bu,14.2,1.3984117975602022,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,sc,7.9,0.5676462121975466,0.9,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,sod,10.7,1.766981104093143,0.1,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,pot,20.4,1.349897115421106,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,hemo,1.0,0.0,1.0,0.9120987654320989,1.0,0.8476190476190477,1.0,0.6918518518518519
wrapper_rfe,pcv,4.4,1.07496769977314,1.0,0.9120987654320989,1.0,0.8476190476190477,0.4,0.6918518518518519
wrapper_rfe,wc,18.6,1.5055453054181622,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,rc,9.2,0.6324555320336759,0.1,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,htn,6.0,1.4907119849998598,1.0,0.9120987654320989,0.6,0.8476190476190477,0.1,0.6918518518518519
wrapper_rfe,dm,3.4,1.1737877907772671,1.0,0.9120987654320989,1.0,0.8476190476190477,0.9,0.6918518518518519
wrapper_rfe,cad,22.3,1.0593499054713802,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,appet,6.9,1.3703203194062976,0.9,0.9120987654320989,0.4,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,pe,12.4,0.9660917830792959,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
wrapper_rfe,ane,16.5,1.2692955176439846,0.0,0.9120987654320989,0.0,0.8476190476190477,0.0,0.6918518518518519
permutation_importance,age,7.5,4.089281382128433,0.7,0.5068082534749203,0.5,0.5035978835978836,0.3,0.6402116402116403
permutation_importance,bp,11.2,2.485513584307633,0.1,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,sg,1.3,0.4830458915396479,1.0,0.5068082534749203,1.0,0.5035978835978836,1.0,0.6402116402116403
permutation_importance,al,5.2,5.940445175985458,0.9,0.5068082534749203,0.9,0.5035978835978836,0.9,0.6402116402116403
permutation_importance,su,22.2,1.9321835661585915,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,rbc,19.5,2.273030282830976,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
