model,prevalence,repetition,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical_rbf_svm,0.5,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,99,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,200,0,0,200
classical_rbf_svm,0.7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,22,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,24,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,26,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,120,0,0,280
classical_rbf_svm,0.7,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,28,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,29,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,30,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,120,0,0,280
classical_rbf_svm,0.7,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,39,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,47,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,120,0,0,280
classical_rbf_svm,0.7,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,0,0,280
classical_rbf_svm,0.7,50,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,120,0,0,280
