disease,repeat,fold,budget,model,fit_seconds,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
Cleveland heart disease,2,2,6,qsvc,0.3349636249913601,0.7704918032786885,0.7142857142857143,0.8181818181818182,0.7692307692307693,0.7407407407407407,0.7943722943722943,0.8165530528156963,27,6,8,20
Cleveland heart disease,2,3,13,classical_rbf_svm,0.0012515830021584406,0.8032786885245902,0.8571428571428571,0.7575757575757576,0.75,0.8,0.882034632034632,0.8508706661664256,25,8,4,24
Cleveland heart disease,2,3,8,classical_rbf_svm,0.0010729999921750277,0.819672131147541,0.8571428571428571,0.7878787878787878,0.7741935483870968,0.8135593220338984,0.8733766233766234,0.8517544926656407,26,7,4,24
Cleveland heart disease,2,3,8,qsvc,0.40508412499912083,0.7377049180327869,0.8214285714285714,0.6666666666666666,0.6764705882352942,0.7419354838709677,0.8333333333333334,0.7648937226200248,22,11,5,23
Cleveland heart disease,2,3,6,classical_rbf_svm,0.001284625002881512,0.7704918032786885,0.8214285714285714,0.7272727272727273,0.71875,0.7666666666666667,0.8311688311688311,0.7870250612594631,24,9,5,23
Cleveland heart disease,2,3,6,qsvc,0.339955083996756,0.7213114754098361,0.8214285714285714,0.6363636363636364,0.6571428571428571,0.7301587301587301,0.7738095238095237,0.7077500646623126,21,12,5,23
Cleveland heart disease,2,4,13,classical_rbf_svm,0.001484583001001738,0.85,0.7407407407407407,0.9393939393939394,0.9090909090909091,0.8163265306122449,0.9360269360269361,0.9373754422301863,31,2,7,20
Cleveland heart disease,2,4,8,classical_rbf_svm,0.0011643750040093437,0.85,0.7777777777777778,0.9090909090909091,0.875,0.8235294117647058,0.9337822671156003,0.93412435291837,30,3,6,21
Cleveland heart disease,2,4,8,qsvc,0.41895166599715594,0.8166666666666667,0.7777777777777778,0.8484848484848485,0.8076923076923077,0.7924528301886793,0.8945005611672279,0.8822611638881006,28,5,6,21
Cleveland heart disease,2,4,6,classical_rbf_svm,0.0013039999903412536,0.85,0.7777777777777778,0.9090909090909091,0.875,0.8235294117647058,0.9315375982042648,0.9383112066270485,30,3,6,21
Cleveland heart disease,2,4,6,qsvc,0.3710431660001632,0.7833333333333333,0.7407407407407407,0.8181818181818182,0.7692307692307693,0.7547169811320755,0.8765432098765431,0.7928574257739481,27,6,7,20
Cleveland heart disease,2,5,13,classical_rbf_svm,0.005480500010889955,0.8833333333333333,0.8571428571428571,0.90625,0.8888888888888888,0.8727272727272727,0.9386160714285714,0.94876774387031,29,3,4,24
Cleveland heart disease,2,5,8,classical_rbf_svm,0.001215083000715822,0.85,0.8214285714285714,0.875,0.8518518518518519,0.8363636363636363,0.9263392857142857,0.9303198263403338,28,4,5,23
Cleveland heart disease,2,5,8,qsvc,0.3992628749983851,0.7833333333333333,0.8214285714285714,0.75,0.7419354838709677,0.7796610169491526,0.8638392857142858,0.8049336491411053,24,8,5,23
Cleveland heart disease,2,5,6,classical_rbf_svm,0.0011857079953188077,0.85,0.8214285714285714,0.875,0.8518518518518519,0.8363636363636363,0.8895089285714285,0.8931599972876283,28,4,5,23
Cleveland heart disease,2,5,6,qsvc,0.3451811670092866,0.7333333333333333,0.6428571428571429,0.8125,0.75,0.6923076923076923,0.8571428571428572,0.8085342276155065,26,6,10,18
Pima diabetes (Arizona Pima population),1,1,8,classical_rbf_svm,0.00804016699839849,0.7272727272727273,0.4444444444444444,0.88,0.6666666666666666,0.5333333333333333,0.8125925925925926,0.6554865414373147,88,12,30,24
Pima diabetes (Arizona Pima population),1,1,8,qsvc,3.118955707992427,0.6558441558441559,0.05555555555555555,0.98,0.6,0.1016949152542373,0.6531481481481481,0.5065717734121942,98,2,51,3
Pima diabetes (Arizona Pima population),1,2,8,classical_rbf_svm,0.005547667009523138,0.7467532467532467,0.4444444444444444,0.91,0.7272727272727273,0.5517241379310345,0.8396296296296296,0.7010151768251589,91,9,30,24
Pima diabetes (Arizona Pima population),1,2,8,qsvc,2.8485530000034487,0.6428571428571429,0.018518518518518517,0.98,0.3333333333333333,0.03508771929824561,0.6512962962962964,0.4632557244078853,98,2,53,1
Pima diabetes (Arizona Pima population),1,3,8,classical_rbf_svm,0.006057457998394966,0.7857142857142857,0.5740740740740741,0.9,0.7560975609756098,0.6526315789473685,0.8587037037037037,0.7667780971614047,90,10,23,31
Pima diabetes (Arizona Pima population),1,3,8,qsvc,3.0197202080016723,0.6298701298701299,0.037037037037037035,0.95,0.2857142857142857,0.06557377049180328,0.6696296296296297,0.4653415577216927,95,5,52,2
Pima diabetes (Arizona Pima population),1,4,8,classical_rbf_svm,0.00835212500533089,0.7777777777777778,0.6226415094339622,0.86,0.7021276595744681,0.66,0.8083018867924529,0.7271864654656304,86,14,20,33
Pima diabetes (Arizona Pima population),1,4,8,qsvc,2.8916388750076294,0.6470588235294118,0.07547169811320754,0.95,0.4444444444444444,0.12903225806451613,0.6335849056603774,0.45687459564905875,95,5,49,4
Pima diabetes (Arizona Pima population),1,5,8,classical_rbf_svm,0.006434958006138913,0.7581699346405228,0.5094339622641509,0.89,0.7105263157894737,0.5934065934065934,0.8358490566037736,0.7430823831631314,89,11,26,27
