model,threshold,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
qsvc,-1.1449423834909365,0.825,1.0,0.5333333333333333,0.78125,0.8771929824561403,0.9991204166666666,0.999486699577997,640,560,0,2000
qsvc,-1.094551681767803,0.845,1.0,0.5866666666666667,0.8012820512820513,0.8896797153024911,0.9991204166666666,0.999486699577997,704,496,0,2000
qsvc,-1.0465440458145634,0.865,1.0,0.64,0.8223684210526315,0.9025270758122743,0.9991204166666666,0.999486699577997,768,432,0,2000
qsvc,-1.007804558924466,0.885,1.0,0.6933333333333334,0.8445945945945946,0.9157509157509157,0.9991204166666666,0.999486699577997,832,368,0,2000
qsvc,-0.949743584116648,0.905,1.0,0.7466666666666667,0.8680555555555556,0.929368029739777,0.9991204166666666,0.999486699577997,896,304,0,2000
qsvc,-0.8822562580358284,0.925,1.0,0.8,0.8928571428571429,0.9433962264150944,0.9991204166666666,0.999486699577997,960,240,0,2000
qsvc,-0.805103907356434,0.944375,0.9995,0.8525,0.9186580882352942,0.9573754789272031,0.9991204166666666,0.999486699577997,1023,177,1,1999
qsvc,-0.6496134768285535,0.96375,0.999,0.905,0.9460227272727273,0.9717898832684825,0.9991204166666666,0.999486699577997,1086,114,2,1998
qsvc,-0.4065214081711215,0.979375,0.9955,0.9525,0.97216796875,0.9836956521739131,0.9991204166666666,0.999486699577997,1143,57,9,1991
qsvc,0.03551877480420402,0.983125,0.9825,0.9841666666666666,0.9904233870967742,0.9864457831325302,0.9991204166666666,0.999486699577997,1181,19,35,1965
qsvc,0.39712192414110653,0.975,0.96,1.0,1.0,0.9795918367346939,0.9991204166666666,0.999486699577997,1200,0,80,1920
qsvc,0.7234717926083082,0.955,0.928,1.0,1.0,0.9626556016597511,0.9991204166666666,0.999486699577997,1200,0,144,1856
qsvc,0.8247111513241857,0.935,0.896,1.0,1.0,0.9451476793248945,0.9991204166666666,0.999486699577997,1200,0,208,1792
qsvc,0.8865946055352355,0.915,0.864,1.0,1.0,0.927038626609442,0.9991204166666666,0.999486699577997,1200,0,272,1728
qsvc,0.9074332043946559,0.895,0.832,1.0,1.0,0.9082969432314411,0.9991204166666666,0.999486699577997,1200,0,336,1664
qsvc,0.921610348048843,0.875,0.8,1.0,1.0,0.8888888888888888,0.9991204166666666,0.999486699577997,1200,0,400,1600
qsvc,0.9299996893775822,0.855,0.768,1.0,1.0,0.8687782805429864,0.9991204166666666,0.999486699577997,1200,0,464,1536
qsvc,0.938859175314953,0.835,0.736,1.0,1.0,0.847926267281106,0.9991204166666666,0.999486699577997,1200,0,528,1472
qsvc,0.9460061348059439,0.815,0.704,1.0,1.0,0.8262910798122066,0.9991204166666666,0.999486699577997,1200,0,592,1408
qsvc,0.9531411655704284,0.795,0.672,1.0,1.0,0.8038277511961722,0.9991204166666666,0.999486699577997,1200,0,656,1344
qsvc,0.9599942597583071,0.775,0.64,1.0,1.0,0.7804878048780488,0.9991204166666666,0.999486699577997,1200,0,720,1280
qsvc,0.9668487398811855,0.755,0.608,1.0,1.0,0.7562189054726368,0.9991204166666666,0.999486699577997,1200,0,784,1216
qsvc,0.9722350494165127,0.735,0.576,1.0,1.0,0.7309644670050761,0.9991204166666666,0.999486699577997,1200,0,848,1152
qsvc,0.9770186064008524,0.715,0.544,1.0,1.0,0.7046632124352331,0.9991204166666666,0.999486699577997,1200,0,912,1088
qsvc,0.9829089061122463,0.695,0.512,1.0,1.0,0.6772486772486772,0.9991204166666666,0.999486699577997,1200,0,976,1024
qsvc,0.9863180620849813,0.675,0.48,1.0,1.0,0.6486486486486487,0.9991204166666666,0.999486699577997,1200,0,1040,960
qsvc,0.9901461179672202,0.655,0.448,1.0,1.0,0.6187845303867403,0.9991204166666666,0.999486699577997,1200,0,1104,896
qsvc,0.9942222563116909,0.635,0.416,1.0,1.0,0.5875706214689266,0.9991204166666666,0.999486699577997,1200,0,1168,832
qsvc,0.9981823464558617,0.615,0.384,1.0,1.0,0.5549132947976878,0.9991204166666666,0.999486699577997,1200,0,1232,768
qsvc,1.0005169633600095,0.595,0.352,1.0,1.0,0.5207100591715976,0.9991204166666666,0.999486699577997,1200,0,1296,704
qsvc,1.0036262780984953,0.575,0.32,1.0,1.0,0.48484848484848486,0.9991204166666666,0.999486699577997,1200,0,1360,640
qsvc,1.0069007606974216,0.555,0.288,1.0,1.0,0.4472049689440994,0.9991204166666666,0.999486699577997,1200,0,1424,576
qsvc,1.0104333009241078,0.535,0.256,1.0,1.0,0.40764331210191085,0.9991204166666666,0.999486699577997,1200,0,1488,512
qsvc,1.0142691519601659,0.515,0.224,1.0,1.0,0.3660130718954248,0.9991204166666666,0.999486699577997,1200,0,1552,448
qsvc,1.018323368654878,0.495,0.192,1.0,1.0,0.3221476510067114,0.9991204166666666,0.999486699577997,1200,0,1616,384
qsvc,1.0250578873558167,0.475,0.16,1.0,1.0,0.27586206896551724,0.9991204166666666,0.999486699577997,1200,0,1680,320
qsvc,1.034786798501605,0.455,0.128,1.0,1.0,0.22695035460992907,0.9991204166666666,0.999486699577997,1200,0,1744,256
qsvc,1.0558709243110376,0.435,0.096,1.0,1.0,0.17518248175182483,0.9991204166666666,0.999486699577997,1200,0,1808,192
qsvc,1.0920649341980906,0.415,0.064,1.0,1.0,0.12030075187969924,0.9991204166666666,0.999486699577997,1200,0,1872,128
qsvc,1.1914211405041455,0.395,0.032,1.0,1.0,0.06201550387596899,0.9991204166666666,0.999486699577997,1200,0,1936,64
