model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
qsvc,0.9375,0.95,0.9166666666666666,0.95,0.95,0.9885416666666667,0.9941886510701843,22,2,2,38,0.16275550000136718,6,9,2,0.282653999995091
classical_rbf_svm,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.00020700000459328294,6,9,3,0.0006176250026328489
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.09241216600639746,6,9,3,0.32610325000132434
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023408301058225334,6,9,4,0.0008962919964687899
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.999390243902439,24,0,1,39,0.12639729099464603,6,9,4,0.31226762500591576
classical_rbf_svm,0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9979166666666667,0.998765243902439,23,1,2,38,0.00021570800163317472,6,9,5,0.0006480419979197904
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.0922523750050459,6,9,5,0.3470011669996893
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002576669940026477,6,10,1,0.0006688339926768094
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.09506174999114592,6,10,1,0.36335108400089666
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021762499818578362,6,10,2,0.0006372079951688647
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9822916666666667,0.9925438596491227,24,0,1,39,0.15731283300556242,6,10,2,0.2835400829935679
classical_rbf_svm,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.00022408299264498055,6,10,3,0.0006874170067021623
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.999390243902439,24,0,1,39,0.09246620800695382,6,10,3,0.3352230410091579
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021291700250003487,6,10,4,0.0007312499947147444
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.12744191600359045,6,10,4,0.3146470420033438
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00020975001098122448,6,10,5,0.0006083749904064462
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.990625,0.9954081632653063,24,0,1,39,0.09402558299188968,6,10,5,0.34620916699350346
