model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9895833333333333,0.995,24,0,2,38,0.09574212499137502,6,1,3,0.3179523330036318
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021579100575763732,6,1,4,0.000653708993922919
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0905111250031041,6,1,4,0.3343274159997236
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.00021545799972955137,6,1,5,0.0006692090100841597
qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9947916666666666,0.9972222222222225,23,1,1,39,0.12345745800121222,6,1,5,0.30159587498928886
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002562080044299364,6,2,1,0.0006501669995486736
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.09317454099073075,6,2,1,0.3538870000047609
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002456250076647848,6,2,2,0.0006602909998036921
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.14200387500750367,6,2,2,0.28791312499379274
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.00022924999939277768,6,2,3,0.0006439169956138358
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9854166666666667,0.9928221288515408,24,0,2,38,0.09920216699538287,6,2,3,0.31401733300299384
classical_rbf_svm,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.00022916599118616432,6,2,4,0.0006465839978773147
qsvc,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.9822916666666668,0.9908562796600818,22,2,1,39,0.12210654199589044,6,2,4,0.3153862499893876
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022162499953992665,6,2,5,0.0006589169934159145
qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.99375,0.9964700996677742,24,0,3,37,0.09308599999349099,6,2,5,0.3408294999971986
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002104580053128302,6,3,1,0.0006139580073067918
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.9993902439024392,24,0,1,39,0.09401708299992606,6,3,1,0.3552021670038812
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002247079974040389,6,3,2,0.0006595000013476238
qsvc,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.9864583333333333,0.9938679245283021,22,2,1,39,0.14418545800435822,6,3,2,0.282435125001939
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.00022079200425650924,6,3,3,0.0006909170042490587
qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9802083333333333,0.9905519114821443,24,0,4,36,0.09476566599914804,6,3,3,0.3227449169935426
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023291600518859923,6,3,4,0.0006442910089390352
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.1251668329932727,6,3,4,0.30701470900385175
classical_rbf_svm,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.00022737499966751784,6,3,5,0.0006639580096816644
qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0000000000000002,22,2,0,40,0.09185495800920762,6,3,5,0.33175670899800025
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002486669982317835,6,4,1,0.000625832995865494
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.14255150000099093,6,4,1,0.29742962500313297
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023379200138151646,6,4,2,0.0006425000028684735
qsvc,0.953125,1.0,0.875,0.9302325581395349,0.963855421686747,1.0,1.0,21,3,0,40,0.1062652089894982,6,4,2,0.33690454201132525
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022283400176092982,6,4,3,0.000683542006299831
