fold,stress_seed,missingness_fraction,added_train_cells,added_valid_cells,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds
3,2,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002265419898321852
3,2,0.05,95,24,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.1365005419938825
3,2,0.1,190,48,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9979166666666666,0.9988095238095238,24,0,1,39,0.00021908299822825938
3,2,0.1,190,48,qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.9760416666666667,0.9908730158730159,24,0,3,37,0.10345325000525918
3,2,0.2,379,96,classical_rbf_svm,0.953125,0.925,1.0,1.0,0.961038961038961,1.0,1.0,24,0,3,37,0.00029083300614729524
3,2,0.2,379,96,qsvc,0.90625,0.875,0.9583333333333334,0.9722222222222222,0.9210526315789473,0.9895833333333334,0.9938387200341628,23,1,5,35,0.18079208399285562
4,0,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002001249958993867
4,0,0.0,0,0,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.11550774998613633
4,0,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022645900025963783
4,0,0.05,95,24,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.15372224999009632
4,0,0.1,190,48,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0000000000000002,24,0,1,39,0.0002331669966224581
4,0,0.1,190,48,qsvc,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.996875,0.9982558139534885,22,2,1,39,0.10074070800328627
4,0,0.2,379,96,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.00030174999847076833
4,0,0.2,379,96,qsvc,0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9979166666666667,0.998765243902439,23,1,2,38,0.15098841598955914
4,1,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00027483300073072314
4,1,0.0,0,0,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.13652474999253172
4,1,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002426249993732199
